Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2018-01-02,40.304168701171875,40.3135296160415,39.60225003195517,39.81282777480597,102223600
2018-01-03,40.29716491699219,40.8399839384858,40.23399478356826,40.3673575242742,118071600
2018-01-04,40.48432922363281,40.587277867352185,40.262055690225814,40.36968122128297,89738400
2018-01-05,40.945255279541016,41.03182410540059,40.48900886331186,40.58025814655769,94640000
2018-01-08,40.79319381713867,41.087998510723665,40.69492201579904,40.79319381713867,82271200
2018-01-09,40.78850173950195,40.959300980537996,40.57324707008062,40.83997607024875,86336000
2018-01-10,40.77914810180664,40.78149011644093,40.47732453595691,40.514761068662935,95839600
2018-01-11,41.010765075683594,41.059900950094274,40.82592807605676,40.849323221374874,74670800
2018-01-12,41.434261322021484,41.497435006670855,41.09733976408248,41.22134511941513,101672400
2018-01-16,41.22369384765625,41.972406559387096,41.211994486349994,41.623785585266006,118263600
2018-01-17,41.904544830322266,41.93963933476282,40.9616343961619,41.21432196841968,137547200
2018-01-18,41.941986083984375,42.13852605820033,41.70567471028857,41.96772324905173,124773600
2018-01-19,41.75479507446289,42.01684351581224,41.50912287562675,41.789889572807084,129700400
2018-01-22,41.41320037841797,41.59569894193177,41.31961265307756,41.483392957494715,108434400
2018-01-23,41.42255401611328,41.984091028334056,41.37108327088204,41.483389245269166,130756400
2018-01-24,40.762760162353516,41.48339714467017,40.52410679746099,41.47169778528601,204420400
2018-01-25,40.03510665893555,40.93356181882684,39.89940193632538,40.83061316235407,166116000
2018-01-26,40.128692626953125,40.243340638442135,39.78943262048329,40.243340638442135,156572000
2018-01-29,39.298099517822266,39.81283931036235,39.08986372842516,39.81283931036235,202561600
2018-01-30,39.06645584106445,39.16004357406714,38.535336352409104,38.7295342900257,184192800
2018-01-31,39.174095153808594,39.41041015348423,38.95650199148942,39.043070853468734,129915600
2018-02-01,39.255977630615234,39.452514033583086,39.01732424407224,39.11325400152449,188923200
2018-02-02,37.55265426635742,39.026684400187065,37.45906652490365,38.839505347136026,346375200
2018-02-05,36.61442947387695,38.343489490275864,36.49978143923265,37.22509903691603,290954000
2018-02-06,38.14460754394531,38.30604944131928,36.03183221340703,36.22603017907835,272975200
2018-02-07,37.328041076660156,38.23117676302514,37.218077079981796,38.1586457232369,206434400
2018-02-08,36.3008918762207,37.66963468893804,36.27281627231443,37.5035123688258,217562000
2018-02-09,36.74489974975586,37.092590392075465,35.295401898813765,36.89995229007209,282690400
2018-02-12,38.22494888305664,38.50216084208162,37.00332640992512,37.23590527913192,243278000
2018-02-13,38.607879638671875,38.70420051241455,37.975925806374015,38.0464045819101,130196800
2018-02-14,39.31970977783203,39.359646916272006,38.26489040714786,38.30247598263867,162579600
2018-02-15,40.639991760253906,40.66348229136409,39.70263246077714,39.88822307075236,204588800
2018-02-16,40.50844192504883,41.06992063350234,40.35339290200922,40.49199890679154,160704400
2018-02-20,40.37217712402344,40.938348059316176,40.27115672319348,40.419161773030865,135722000
2018-02-21,40.18894577026367,40.90546993442809,40.17484714537294,40.60241581622641,149886400
2018-02-22,40.5248908996582,40.86553419317909,40.33930022295099,40.36044278396192,123967600
2018-02-23,41.22964859008789,41.264886172097626,40.769190538538275,40.79973216607876,135249600
2018-02-26,42.044857025146484,42.14352586821339,41.396460234407215,41.429349848762854,152648800
2018-02-27,41.90859603881836,42.39959224122291,41.85456387295106,42.075395661320265,155712400
2018-02-28,41.84516143798828,42.43247845158995,41.82871842565069,42.1129778528027,151128400
2018-03-01,41.11220169067383,42.23515182722027,40.5624736826807,41.943841221891674,195208000
2018-03-02,41.39645767211914,41.417600226175026,40.51313051032975,40.59535633347892,153816000
2018-03-05,41.539764404296875,41.75589666087064,40.999431970512966,41.16153205911804,113605600
2018-03-06,41.50453567504883,41.87572061331402,41.37767672423165,41.795846326329126,95154000
2018-03-07,41.11924362182617,41.31188534708122,40.940700517810946,41.098101067014966,126814000
2018-03-08,41.56795883178711,41.61024394557519,41.128646754391646,41.22496404180873,95096400
2018-03-09,42.28213119506836,42.28683073553249,41.673671546479305,41.80758156446404,128740800
2018-03-12,42.69089889526367,42.848299422989385,42.33616071349663,42.354951703187545,128828400
2018-03-13,42.2797737121582,43.10906497503839,42.10827816311198,42.89528074072016,126774000
2018-03-14,41.92035675048828,42.40900513429512,41.77235165588669,42.36202047107716,117473600
2018-03-15,41.969688415527344,42.343224903462456,41.833433970776106,41.93445081510891,90975200
2018-03-16,41.821678161621094,42.080095541605395,41.72770527232746,41.969679637122375,157618800
2018-03-19,41.18267822265625,41.692469065666344,40.79739832548874,41.65723147144648,133787200
2018-03-20,41.1685791015625,41.53506438389557,41.098100335414074,41.1685791015625,78597600
2018-03-21,40.23592758178711,41.133346395785146,40.23357601878862,41.121599334891776,148219600
2018-03-22,39.66739273071289,40.56715924551111,39.608661029059306,39.93755712443996,165963200
2018-03-23,38.74884033203125,39.91877519588673,38.74884033203125,39.55933735467391,164115200
2018-03-26,40.588321685791016,40.665847993277964,39.10123397243239,39.48416596813154,150164800
2018-03-27,39.547584533691406,41.147435786997505,39.21398884136804,40.8020930353932,163690400
2018-03-28,39.11063003540039,39.942273284293705,38.80757590603423,39.29152475547946,166674000
2018-03-29,39.41603088378906,40.34869086628051,39.20929408624951,39.42307840327794,153594000
2018-04-02,39.15760803222656,39.68854503990623,38.638421669404664,39.1482125349196,150347200
2018-04-03,39.55934143066406,39.64391525993994,38.734749283749345,39.383146251731,121112000
2018-04-04,40.315792083740234,40.409761378700175,38.70889348091307,38.73473557473187,138422000
2018-04-05,40.59535598754883,40.93129962590363,40.42620838714539,40.54367179938673,107732800
2018-04-06,39.556983947753906,40.52018187700721,39.51469525092662,40.165443625813566,140021200
2018-04-09,39.949317932128906,40.66349409278615,39.902333271573795,39.90938079142207,116070800
2018-04-10,40.701080322265625,40.877275475175864,40.29700581814884,40.64234860462888,113634400
2018-04-11,40.510780334472656,40.858471015088746,40.33693320181526,40.46144412632032,89726400
2018-04-12,40.9101676940918,41.11220495899255,40.65174668618393,40.73867207140737,91557200
2018-04-13,41.048770904541016,41.30953987307731,40.84203769697408,41.06051796495608,100497200
2018-04-16,41.304840087890625,41.3917618744456,41.07226121814989,41.1192458707553,86313600
2018-04-17,41.873374938964844,42.0378230637771,41.443458251076926,41.462252834584085,106421600
2018-04-18,41.779388427734375,42.00961931226193,41.55386066842869,41.772340909299764,83018000
2018-04-19,40.59535598754883,41.20381560263127,40.56246637550921,40.82088373162085,139235200
2018-04-20,38.93209457397461,40.22419280339527,38.86396375080908,40.078539241001195,261964400
2018-04-23,38.819313049316406,39.213988427152856,38.54914502750533,39.19284587149001,146062000
2018-04-24,38.27898406982422,39.075386001140814,37.87490957405361,38.92033340945452,134768000
2018-04-25,38.44577407836914,38.8615955688351,38.1544671050226,38.20379973161242,113528400
2018-04-26,38.57969284057617,38.934431141828505,38.380003557038926,38.55619871850129,111852000
2018-04-27,38.13334274291992,38.60554460333177,37.7363156395032,38.52801828272076,142623200
2018-04-30,38.824005126953125,39.2938587686988,38.02055582973188,38.08868661521634,169709600
2018-05-01,39.72614288330078,39.74963342405332,38.826372365902685,39.09418890644335,214277600
2018-05-02,41.48103332519531,41.75824527216936,40.83028498306096,41.166228639278565,266157600
2018-05-03,41.556209564208984,41.69951508337644,40.980639509575454,41.31893474070514,136272800
2018-05-04,43.18661117553711,43.28528004044497,41.85692410066955,41.875718682275796,224805200
2018-05-07,43.499046325683594,44.08871129204053,43.402725479177555,43.503742280611874,169805600
2018-05-08,43.708133697509766,43.74807082502772,43.14900674286115,43.45911185257509,113611200
2018-05-09,44.015892028808594,44.02528752495806,43.51314874438485,43.825601865665355,92844800
2018-05-10,44.645511627197266,44.723037943266775,44.084036415088164,44.10518256288925,111957200
2018-05-11,44.47569274902344,44.82236714269352,44.20684358643458,44.68794436066,104848800
2018-05-14,44.3719367980957,44.69738719101418,44.30354687419681,44.57475313594708,83115200
2018-05-15,43.968650817871094,44.117226575987395,43.6526358516277,44.04883307524242,94780800
2018-05-16,44.37902069091797,44.445057194657096,43.86490684337823,43.88141686894387,76732400
2018-05-17,44.09836196899414,44.55116036327544,43.949786202651836,44.33655172267472,69176000
2018-05-18,43.93799591064453,44.29174501015402,43.895547745993916,44.145529867217114,73190800
2018-05-21,44.24929428100586,44.6360597967801,44.07949443520042,44.33655123563415,73603200
2018-05-22,44.13845443725586,44.544087019146,44.048836848680494,44.426170654608676,60962800
2018-05-23,44.42145919799805,44.45447564073993,43.80829257733751,43.94743664180622,80233600
2018-05-24,44.3719367980957,44.53466199455494,43.91442422063814,44.518155570933565,92936000
2018-05-25,44.47332763671875,44.7256667354169,44.25400137106335,44.39078475854842,69844000
2018-05-29,44.31298065185547,44.513439966610946,44.070073161376456,44.24223369231623,90056400
2018-05-30,44.21864318847656,44.3365595703125,44.04884331075102,44.27052668436617,74762000
2018-05-31,44.07006072998047,44.390793384002414,43.89790384612601,44.15260362418949,109931200
2018-06-01,44.86482238769531,44.86953645162613,44.277597561320896,44.33419871518947,93770000
2018-06-04,45.23978805541992,45.614761191261394,45.126589365047714,45.19497926588135,105064800
2018-06-05,45.58883285522461,45.73740865401023,45.36479244017438,45.532235292656786,86264000
2018-06-06,45.746826171875,45.77041088130082,45.26101138528308,45.66428688592748,83734400
2018-06-07,45.624202728271484,45.79871665000415,45.360067616734455,45.784567261595775,85388800
2018-06-08,45.20913314819336,45.27988368615735,44.75397771134695,45.084142090483105,106627200
2018-06-11,45.09830093383789,45.27281848426944,44.85775409225702,45.126603314070564,73234000
